year,payer_sic2digit,payer_ITL1,payee_sic2digit,payee_ITL1,pounds,num_transactions,payer_ITL1name,payee_ITL1name,sectioncode_payer,sectionname_payer,sectioncode_payee,sectionname_payee
2021-01-01,47,E12000007,96,S99999999,11788000,1200,London,Scotland,G (45-47),Wholesale and retail trade; repair of motor vehicles,S (94-96),Other service activities
2020-01-01,38,E12000004,47,E12000005,518000,0,East Midlands,West Midlands,E (36-39),Water supply; sewerage and waste management,G (45-47),Wholesale and retail trade; repair of motor vehicles
2022-01-01,28,E12000005,82,E12000004,2054000,900,West Midlands,East Midlands,C (10-33),Manufacturing,N (77-82),Administrative and support service activities
2025-01-01,70,E12000005,69,E12000002,2541000,1200,West Midlands,North West,M (69-75),"Professional, scientific and technical activities",M (69-75),"Professional, scientific and technical activities"
2024-01-01,30,E12000009,30,E12000009,6561000,0,South West,South West,C (10-33),Manufacturing,C (10-33),Manufacturing
2024-01-01,86,E12000005,94,E12000004,132000,0,West Midlands,East Midlands,Q (86-88),Human health and social work activities,S (94-96),Other service activities
2019-01-01,96,E12000006,86,E12000007,5113000,1100,East of England,London,S (94-96),Other service activities,Q (86-88),Human health and social work activities
2019-01-01,81,E12000002,77,S99999999,118000,0,North West,Scotland,N (77-82),Administrative and support service activities,N (77-82),Administrative and support service activities
2019-01-01,41,E12000006,77,E12000004,3145000,1200,East of England,East Midlands,F (41-43),Construction,N (77-82),Administrative and support service activities
2021-01-01,47,E12000004,77,E12000009,2489000,2400,East Midlands,South West,G (45-47),Wholesale and retail trade; repair of motor vehicles,N (77-82),Administrative and support service activities
2023-01-01,25,E12000002,86,E12000002,643000,1100,North West,North West,C (10-33),Manufacturing,Q (86-88),Human health and social work activities
2025-01-01,90,E12000002,69,S99999999,23000,0,North West,Scotland,R (90-93),"Arts, entertainment and recreation",M (69-75),"Professional, scientific and technical activities"
2019-01-01,86,E12000001,62,E12000003,645000,300,North East,Yorkshire and The Humber,Q (86-88),Human health and social work activities,J (58-63),Information and communication
2025-01-01,49,E12000006,33,E12000001,37000,0,East of England,North East,H (49-53),Transportation and storage,C (10-33),Manufacturing
2024-01-01,28,E12000002,33,E12000004,863000,0,North West,East Midlands,C (10-33),Manufacturing,C (10-33),Manufacturing
2021-01-01,56,E12000007,49,E12000007,10751000,3400,London,London,I (55-56),Accommodation and food service activities,H (49-53),Transportation and storage
2020-01-01,55,E12000003,81,E12000004,22000,0,Yorkshire and The Humber,East Midlands,I (55-56),Accommodation and food service activities,N (77-82),Administrative and support service activities
2019-01-01,26,E12000008,71,E12000003,490000,0,South East,Yorkshire and The Humber,C (10-33),Manufacturing,M (69-75),"Professional, scientific and technical activities"
2025-01-01,87,E12000001,58,E12000009,13000,0,North East,South West,Q (86-88),Human health and social work activities,J (58-63),Information and communication
2021-01-01,47,E12000009,16,E12000009,1412000,1100,South West,South West,G (45-47),Wholesale and retail trade; repair of motor vehicles,C (10-33),Manufacturing
2023-01-01,71,E12000008,53,E12000005,60000,0,South East,West Midlands,M (69-75),"Professional, scientific and technical activities",H (49-53),Transportation and storage
2021-01-01,86,N99999999,68,E12000007,2059000,0,Northern Ireland,London,Q (86-88),Human health and social work activities,L (68),Real estate activities
2024-01-01,17,E12000002,61,E12000005,14000,0,North West,West Midlands,C (10-33),Manufacturing,J (58-63),Information and communication
2021-01-01,26,E12000007,82,E12000004,163000,0,London,East Midlands,C (10-33),Manufacturing,N (77-82),Administrative and support service activities
2025-01-01,45,E12000003,38,E12000007,542000,1300,Yorkshire and The Humber,London,G (45-47),Wholesale and retail trade; repair of motor vehicles,E (36-39),Water supply; sewerage and waste management
2024-01-01,59,E12000008,18,E12000004,89000,0,South East,East Midlands,J (58-63),Information and communication,C (10-33),Manufacturing
2024-01-01,18,E12000004,46,E12000006,2762000,1200,East Midlands,East of England,C (10-33),Manufacturing,G (45-47),Wholesale and retail trade; repair of motor vehicles
2024-01-01,78,E12000002,41,E12000007,3569000,1700,North West,London,N (77-82),Administrative and support service activities,F (41-43),Construction
2025-01-01,52,E12000006,39,E12000006,191000,0,East of England,East of England,H (49-53),Transportation and storage,E (36-39),Water supply; sewerage and waste management
2024-01-01,93,E12000006,46,W99999999,1117000,400,East of England,Wales,R (90-93),"Arts, entertainment and recreation",G (45-47),Wholesale and retail trade; repair of motor vehicles
2022-01-01,58,E12000007,73,E12000004,693000,600,London,East Midlands,J (58-63),Information and communication,M (69-75),"Professional, scientific and technical activities"
2023-01-01,55,E12000009,0,E12000003,404000,0,South West,Yorkshire and The Humber,I (55-56),Accommodation and food service activities,NA,NA
2022-01-01,2,E12000009,82,E12000003,28000,0,South West,Yorkshire and The Humber,A (1-3),"Agriculture, forestry and fishing",N (77-82),Administrative and support service activities
2021-01-01,58,E12000002,46,E12000009,134000,0,North West,South West,J (58-63),Information and communication,G (45-47),Wholesale and retail trade; repair of motor vehicles
2019-01-01,72,E12000005,62,E12000005,1144000,0,West Midlands,West Midlands,M (69-75),"Professional, scientific and technical activities",J (58-63),Information and communication
2020-01-01,47,E12000007,51,E12000007,22893000,2800,London,London,G (45-47),Wholesale and retail trade; repair of motor vehicles,H (49-53),Transportation and storage
2019-01-01,79,E12000006,62,E12000007,12676000,5000,East of England,London,N (77-82),Administrative and support service activities,J (58-63),Information and communication
2025-01-01,43,S99999999,16,E12000001,159000,0,Scotland,North East,F (41-43),Construction,C (10-33),Manufacturing
2025-01-01,85,E12000005,0,E12000001,73000,0,West Midlands,North East,P (85),Education,NA,NA
2019-01-01,59,N99999999,58,E12000007,22000,0,Northern Ireland,London,J (58-63),Information and communication,J (58-63),Information and communication
2021-01-01,71,E12000009,62,E12000009,3262000,2300,South West,South West,M (69-75),"Professional, scientific and technical activities",J (58-63),Information and communication
2025-01-01,82,E12000009,26,E12000008,1796000,0,South West,South East,N (77-82),Administrative and support service activities,C (10-33),Manufacturing
2019-01-01,24,E12000005,0,E12000007,2592000,0,West Midlands,London,C (10-33),Manufacturing,NA,NA
2019-01-01,62,E12000004,64,E12000008,5374000,6700,East Midlands,South East,J (58-63),Information and communication,K (64-66),Financial and insurance activities
2023-01-01,51,E12000009,56,E12000008,21000,0,South West,South East,H (49-53),Transportation and storage,I (55-56),Accommodation and food service activities
2022-01-01,33,E12000005,61,E12000007,1993000,7600,West Midlands,London,C (10-33),Manufacturing,J (58-63),Information and communication
2021-01-01,28,E12000006,82,E12000001,79000,0,East of England,North East,C (10-33),Manufacturing,N (77-82),Administrative and support service activities
2022-01-01,65,E12000003,65,E12000003,2056000,1100,Yorkshire and The Humber,Yorkshire and The Humber,K (64-66),Financial and insurance activities,K (64-66),Financial and insurance activities
2024-01-01,87,W99999999,56,W99999999,862000,0,Wales,Wales,Q (86-88),Human health and social work activities,I (55-56),Accommodation and food service activities
2025-01-01,82,E12000007,73,N99999999,997000,0,London,Northern Ireland,N (77-82),Administrative and support service activities,M (69-75),"Professional, scientific and technical activities"
2025-01-01,45,E12000007,77,E12000004,5883000,200,London,East Midlands,G (45-47),Wholesale and retail trade; repair of motor vehicles,N (77-82),Administrative and support service activities
2020-01-01,45,E12000005,64,E12000008,517949000,46600,West Midlands,South East,G (45-47),Wholesale and retail trade; repair of motor vehicles,K (64-66),Financial and insurance activities
2023-01-01,17,E12000007,52,E12000006,231000,0,London,East of England,C (10-33),Manufacturing,H (49-53),Transportation and storage
2024-01-01,2,E12000008,45,E12000006,486000,0,South East,East of England,A (1-3),"Agriculture, forestry and fishing",G (45-47),Wholesale and retail trade; repair of motor vehicles
2025-01-01,64,S99999999,55,E12000007,77000,0,Scotland,London,K (64-66),Financial and insurance activities,I (55-56),Accommodation and food service activities
2023-01-01,68,E12000003,43,E12000007,4332000,2300,Yorkshire and The Humber,London,L (68),Real estate activities,F (41-43),Construction
2025-01-01,10,E12000007,26,E12000006,295000,0,London,East of England,C (10-33),Manufacturing,C (10-33),Manufacturing
2020-01-01,94,E12000007,68,S99999999,71000,0,London,Scotland,S (94-96),Other service activities,L (68),Real estate activities
2023-01-01,28,S99999999,56,S99999999,1096000,0,Scotland,Scotland,C (10-33),Manufacturing,I (55-56),Accommodation and food service activities
2022-01-01,75,E12000006,64,W99999999,70000,0,East of England,Wales,M (69-75),"Professional, scientific and technical activities",K (64-66),Financial and insurance activities
2021-01-01,0,N99999999,52,E12000008,264000,0,Northern Ireland,South East,NA,NA,H (49-53),Transportation and storage
2021-01-01,0,E12000005,25,W99999999,683000,0,West Midlands,Wales,NA,NA,C (10-33),Manufacturing
2025-01-01,74,E12000007,68,S99999999,1713000,700,London,Scotland,M (69-75),"Professional, scientific and technical activities",L (68),Real estate activities
2020-01-01,70,E12000007,26,E12000006,848000,0,London,East of England,M (69-75),"Professional, scientific and technical activities",C (10-33),Manufacturing
2025-01-01,82,E12000005,56,E12000009,1015000,600,West Midlands,South West,N (77-82),Administrative and support service activities,I (55-56),Accommodation and food service activities
2023-01-01,86,E12000006,28,E12000005,46000,0,East of England,West Midlands,Q (86-88),Human health and social work activities,C (10-33),Manufacturing
2025-01-01,73,E12000002,65,E12000007,1930000,4800,North West,London,M (69-75),"Professional, scientific and technical activities",K (64-66),Financial and insurance activities
2022-01-01,8,E12000008,70,E12000005,11000,0,South East,West Midlands,B (5-9),Mining and quarrying,M (69-75),"Professional, scientific and technical activities"
2021-01-01,61,E12000009,61,E12000004,3516000,100,South West,East Midlands,J (58-63),Information and communication,J (58-63),Information and communication
2019-01-01,80,E12000004,77,E12000004,47000,0,East Midlands,East Midlands,N (77-82),Administrative and support service activities,N (77-82),Administrative and support service activities
2023-01-01,1,E12000009,68,E12000004,477000,0,South West,East Midlands,A (1-3),"Agriculture, forestry and fishing",L (68),Real estate activities
2019-01-01,32,E12000008,82,E12000008,15813000,6100,South East,South East,C (10-33),Manufacturing,N (77-82),Administrative and support service activities
2021-01-01,47,N99999999,10,S99999999,483000,0,Northern Ireland,Scotland,G (45-47),Wholesale and retail trade; repair of motor vehicles,C (10-33),Manufacturing
2021-01-01,74,E12000008,49,E12000008,4736000,4700,South East,South East,M (69-75),"Professional, scientific and technical activities",H (49-53),Transportation and storage
2024-01-01,25,E12000002,78,E12000008,142000,0,North West,South East,C (10-33),Manufacturing,N (77-82),Administrative and support service activities
2020-01-01,49,S99999999,43,E12000001,62000,0,Scotland,North East,H (49-53),Transportation and storage,F (41-43),Construction
2024-01-01,52,E12000009,43,E12000003,70000,0,South West,Yorkshire and The Humber,H (49-53),Transportation and storage,F (41-43),Construction
2023-01-01,70,E12000006,56,W99999999,244000,0,East of England,Wales,M (69-75),"Professional, scientific and technical activities",I (55-56),Accommodation and food service activities
2024-01-01,1,E12000009,47,E12000003,823000,1200,South West,Yorkshire and The Humber,A (1-3),"Agriculture, forestry and fishing",G (45-47),Wholesale and retail trade; repair of motor vehicles
2021-01-01,41,E12000004,32,E12000002,834000,0,East Midlands,North West,F (41-43),Construction,C (10-33),Manufacturing
2024-01-01,18,E12000007,68,E12000006,167000,0,London,East of England,C (10-33),Manufacturing,L (68),Real estate activities
2019-01-01,58,E12000009,85,E12000005,23000,0,South West,West Midlands,J (58-63),Information and communication,P (85),Education
2025-01-01,45,E12000002,28,E12000007,136000,300,North West,London,G (45-47),Wholesale and retail trade; repair of motor vehicles,C (10-33),Manufacturing
2021-01-01,56,E12000005,77,E12000005,2226000,2500,West Midlands,West Midlands,I (55-56),Accommodation and food service activities,N (77-82),Administrative and support service activities
2019-01-01,53,E12000007,43,E12000005,129000,0,London,West Midlands,H (49-53),Transportation and storage,F (41-43),Construction
2025-01-01,87,E12000008,81,S99999999,599000,0,South East,Scotland,Q (86-88),Human health and social work activities,N (77-82),Administrative and support service activities
2022-01-01,25,W99999999,43,E12000007,138000,0,Wales,London,C (10-33),Manufacturing,F (41-43),Construction
2025-01-01,91,E12000007,43,E12000008,1446000,0,London,South East,R (90-93),"Arts, entertainment and recreation",F (41-43),Construction
2022-01-01,18,E12000001,70,E12000001,4000,0,North East,North East,C (10-33),Manufacturing,M (69-75),"Professional, scientific and technical activities"
2024-01-01,30,E12000003,68,E12000003,124000,0,Yorkshire and The Humber,Yorkshire and The Humber,C (10-33),Manufacturing,L (68),Real estate activities
2022-01-01,20,E12000008,43,S99999999,1349000,0,South East,Scotland,C (10-33),Manufacturing,F (41-43),Construction
2024-01-01,80,E12000008,41,E12000006,18000,0,South East,East of England,N (77-82),Administrative and support service activities,F (41-43),Construction
2024-01-01,52,E12000003,33,E12000002,625000,0,Yorkshire and The Humber,North West,H (49-53),Transportation and storage,C (10-33),Manufacturing
